apk_hash,label_banking_trojan,label_spyware,label_sms_stealer,label_obfuscated_loader,label_benign
8166dfba7fd0b4ad44c8bc91cc0e98fa06b8912e3fca2093900eb58ba79d22d4,1,0,0,0,0
cadcce6d4088c72fd0779d59d00f5753eaab585a263e3c92374df29ae767ac15,1,0,0,0,0
71c78101f7792fe879a082e323fed89c5e4a43132d01d3f79ed02afd8db45497,1,0,0,0,0
fa7947933a3561b7174f1d94472dcf8633a03749c14342ce65dafe94db361140,1,0,0,0,0
8c93845d33f36a96a72deb5d0a07a9be93589461dd3bce8c87293d82d18459af,1,0,0,0,0
c659454dd6ed62bc7a0c9e0455297e41ba57b0b7935a826150c1f8c0db6f89d2,1,0,0,0,0
3b66805144a14cb00bb58f41690e529c9e75b265faecbdb594c6c9f0f74892ed,1,0,0,0,0
b14412435de7ebe13c434eef79a5c24dc2c48e5483d9db2aef30b569738f4b32,1,0,0,0,0
8ef35a9062369b6ce2e99571b0dc263be74ef888548a1072c609581b9adf3a93,1,0,0,0,0
4e6c3f36a00638652d94b6a79722c7e40e11d73674fc49b4dbdadbe82acae581,1,0,0,0,0
724a56172f40177da76242ee169ac336b63d5df85889368d1531f593b658606b,1,0,0,0,0
923f9740c518cee69d82f77c19944a1976c4d4516b859f519369bff120ff47cd,1,0,0,0,0
a25bf4bdb2ed9872456af0057eb21ce31fd03d680d63a9da469519060b4814bc,1,0,0,0,0
d0279f6afa15e29234f752229e9b91312fc118f1c73971a2042e163d586c3792,1,1,0,0,0
14b005352c07490b3689ac4eb187eb68d2b50cd135e57e1bca2f3469b10e2dd5,1,1,0,0,0
ca3da13d69ce07ed9b31314f2404f9c6a2235067406b545d7b00517258cee9d6,1,1,0,0,0
0a2f1bdec6df99d0de397ffdd63f1c89341b7bd53fa4dd5868e567109fdd507f,1,1,0,0,0
a6ed100ae42e4fdabfd1b4c992762152bc4a11cc8e521b647b444c75bb7a9782,1,1,0,0,0
c2bccfc8b3bdf2da5fb5c22055a9c4859256be7904933e9e0b92fa31fd0420d3,1,1,0,0,0
f4d7e9ec4eda034c29b8d73d479084658858f56e67909c2ffedf9223d7ca9bd2,1,1,0,0,0
3853c41d87d5aa64abe9a52cd1b1fb5e6abada57a06289c9ba9172b5036740b2,1,1,0,0,0
4284e6bbc2fc274d8b0a1f37f91408efc0404e4cae0ba28abc4d583bc59af6bd,1,1,0,0,0
6eb525100f54b9a830cd2d0f1169b053edb55332b2be73dd29a8b165b9ccdbf5,1,1,0,0,0
841e432a41b9625040704fd636d4fc3814a6d4193fa315cd78cfed9aa3991c04,1,1,0,0,0
dc2a780f6abb9f0ec0a6675f20acb91ebe2a8748297682a59daf9164fbea2ee8,1,1,0,0,0
6ca691c97ab0028ce9acade5d079289668b1d0339ad330181c84fc7e7114c509,1,1,0,0,0
2b332adf4e52168cbd2e76866165a5c6f421d15b5778d44f78f0d86c4c26b9fa,1,1,0,0,0
c2633119bf26657d6969beba6d21c2269c172b360336b76e64a7e3ae5e5b76c5,1,1,0,0,0
a52d2105d680d029f9cc5c9c77f639e47ae520e41ce7294bbad77b8f2931796a,1,1,0,0,0
8beae1f6b21cec17eed82fb7af25e1782d5b7bf10fd22369603313f1b1a5e5e4,1,1,0,0,0
d17d2f0ab340d52c83e59d3d7d6636d92e15f23a9a70b4f402c5af54cfc291af,1,1,0,0,0
392272ef515d2f60f2c058675d637bf63a265800b8e4613ed9f72eeb8ebb323d,1,1,0,0,0
810926f89430144fd258ed4a95f1d77215f657a4e7dac2ce0c410bcffbdca99e,1,1,0,0,0
003d2fd8ef8fc9d4765e4bbc650ecd20ef339be94606486629c003f683cb5982,1,1,0,0,0
39ccc5d7009aefac18891c70a16b857b98481d6f69800075e31900c4dc9ef000,1,1,0,0,0
a778818cc08d213d1f66db5fa8b34aabc862569ecb99fd1aea37ff6ccab48400,1,0,1,0,0
a959108ec8f93ee4c71e588236788d17372f9d61b8f71a509a776f097889f36b,1,0,1,0,0
238eeea51b2d53ff08b3129fe6d6be75a13c12090e4063a1455fad614054d4b3,1,0,1,0,0
9aff583b812a3979394ffcd23f616d561a0eda4002f2e2a4b42ea5ba3efdbfaf,1,0,1,0,0
1d9bdb35234b01d219fd28c47a47bbaa6c9033e2b1f35b07f10cf09eaed00254,1,0,1,0,0
2b7e044edadb6932c251f2169da0a777bf553a549a263c5c8a0cf9d888cee704,1,0,1,0,0
554e71b4e5d2a172707b51edc8e0e22cba40858b69884e75228c12718c47e1ef,1,0,1,0,0
ddabe5999dbc9ffbc8b804a7ea6bb61415bc88e346b2d2c0d53bfff9dcc88d32,1,0,1,0,0
